Type,Function,Digit,Time(ms)
i64toa_sequential,lut,8,4.677000
i64toa_sequential,lut,9,5.811000
i64toa_sequential,lut,10,5.911000
i64toa_sequential,lut,11,7.041000
i64toa_sequential,lut,12,7.134000
i64toa_sequential,lut,13,9.305000
i64toa_sequential,lut,14,9.465000
i64toa_sequential,lut,15,11.116000
i64toa_sequential,lut,16,11.245000
i64toa_sequential,lut,17,13.468000
i64toa_sequential,lut,18,13.519000
i64toa_sequential,lut,19,15.267000
i64toa_sequential,lut,20,15.331000
i64toa_random,lut,0,187.832000
i64toa_sequential,naive,1,1.863000
i64toa_sequential,naive,2,2.960000
i64toa_sequential,naive,3,4.120000
i64toa_sequential,naive,4,5.319000
i64toa_sequential,naive,5,6.510000
i64toa_sequential,naive,6,7.684000
i64toa_sequential,naive,7,8.867000
i64toa_sequential,naive,8,10.015000
i64toa_sequential,naive,9,11.201000
i64toa_sequential,naive,10,12.934000
i64toa_sequential,naive,11,14.058000
i64toa_sequential,naive,12,16.646000
i64toa_sequential,naive,13,18.667000
i64toa_sequential,naive,14,20.308000
i64toa_sequential,naive,15,22.312000
i64toa_sequential,naive,16,23.968000
i64toa_sequential,naive,17,25.816000
i64toa_sequential,naive,18,27.691000
i64toa_sequential,naive,19,29.383000
i64toa_sequential,naive,20,29.992000
i64toa_random,naive,0,328.627000
i64toa_sequential,sprintf,1,9.762000
i64toa_sequential,sprintf,2,10.040000
i64toa_sequential,sprintf,3,10.447000
i64toa_sequential,sprintf,4,10.789000
i64toa_sequential,sprintf,5,11.945000
i64toa_sequential,sprintf,6,12.590000
i64toa_sequential,sprintf,7,13.308000
i64toa_sequential,sprintf,8,13.866000
i64toa_sequential,sprintf,9,14.546000
i64toa_sequential,sprintf,10,15.522000
i64toa_sequential,sprintf,11,13.473000
i64toa_sequential,sprintf,12,13.801000
i64toa_sequential,sprintf,13,14.154000
i64toa_sequential,sprintf,14,14.781000
i64toa_sequential,sprintf,15,15.454000
i64toa_sequential,sprintf,16,15.982000
i64toa_sequential,sprintf,17,17.000000
i64toa_sequential,sprintf,18,17.582000
i64toa_sequential,sprintf,19,18.463000
i64toa_sequential,sprintf,20,21.540000
i64toa_random,sprintf,0,310.073000
i64toa_sequential,mwilson,1,2.162000
i64toa_sequential,mwilson,2,3.684000
i64toa_sequential,mwilson,3,5.286000
i64toa_sequential,mwilson,4,6.859000
i64toa_sequential,mwilson,5,8.418000
i64toa_sequential,mwilson,6,9.975000
i64toa_sequential,mwilson,7,11.646000
i64toa_sequential,mwilson,8,13.630000
i64toa_sequential,mwilson,9,15.394000
i64toa_sequential,mwilson,10,17.266000
i64toa_sequential,mwilson,11,19.240000
i64toa_sequential,mwilson,12,22.073000
i64toa_sequential,mwilson,13,24.408000
i64toa_sequential,mwilson,14,27.046000
i64toa_sequential,mwilson,15,29.481000
i64toa_sequential,mwilson,16,32.098000
i64toa_sequential,mwilson,17,35.071000
i64toa_sequential,mwilson,18,38.109000
i64toa_sequential,mwilson,19,40.456000
i64toa_sequential,mwilson,20,41.927000
i64toa_random,mwilson,0,438.964000
i64toa_sequential,countlut,1,0.990000
i64toa_sequential,countlut,2,1.101000
i64toa_sequential,countlut,3,1.285000
i64toa_sequential,countlut,4,1.252000
i64toa_sequential,countlut,5,1.476000
i64toa_sequential,countlut,6,1.494000
i64toa_sequential,countlut,7,1.658000
i64toa_sequential,countlut,8,1.671000
i64toa_sequential,countlut,9,2.662000
i64toa_sequential,countlut,10,2.733000
i64toa_sequential,countlut,11,2.865000
i64toa_sequential,countlut,12,2.883000
i64toa_sequential,countlut,13,3.030000
i64toa_sequential,countlut,14,3.056000
i64toa_sequential,countlut,15,3.228000
i64toa_sequential,countlut,16,3.274000
i64toa_sequential,countlut,17,4.314000
i64toa_sequential,countlut,18,4.384000
i64toa_sequential,countlut,19,5.370000
i64toa_sequential,countlut,20,5.449000
i64toa_random,countlut,0,79.337000
i64toa_sequential,branchlut,1,0.933000
i64toa_sequential,branchlut,2,0.963000
i64toa_sequential,branchlut,3,0.950000
i64toa_sequential,branchlut,4,1.020000
i64toa_sequential,branchlut,5,1.338000
i64toa_sequential,branchlut,6,1.330000
i64toa_sequential,branchlut,7,1.343000
i64toa_sequential,branchlut,8,1.391000
i64toa_sequential,branchlut,9,2.876000
i64toa_sequential,branchlut,10,2.927000
i64toa_sequential,branchlut,11,2.943000
i64toa_sequential,branchlut,12,2.966000
i64toa_sequential,branchlut,13,2.970000
i64toa_sequential,branchlut,14,2.995000
i64toa_sequential,branchlut,15,3.098000
i64toa_sequential,branchlut,16,3.165000
i64toa_sequential,branchlut,17,5.588000
i64toa_sequential,branchlut,18,5.571000
i64toa_sequential,branchlut,19,5.655000
i64toa_sequential,branchlut,20,5.856000
i64toa_random,branchlut,0,76.787000
i64toa_sequential,count,1,2.106000
i64toa_sequential,count,2,3.182000
i64toa_sequential,count,3,4.132000
i64toa_sequential,count,4,5.228000
i64toa_sequential,count,5,6.375000
i64toa_sequential,count,6,7.506000
i64toa_sequential,count,7,8.617000
