Type,Function,Digit,Time(ns)
i64toa_sequential,amartin,11,18.402091
i64toa_sequential,amartin,12,19.831380
i64toa_sequential,amartin,13,19.663885
i64toa_sequential,amartin,14,21.439329
i64toa_sequential,amartin,15,21.483995
i64toa_sequential,amartin,16,24.186243
i64toa_sequential,amartin,17,24.029915
i64toa_sequential,amartin,18,26.408341
i64toa_sequential,amartin,19,26.776829
i64toa_sequential,amartin,20,33.096965
i64toa_random,amartin,0,29.249052
i64toa_sequential,branchlut,1,5.929315
i64toa_sequential,branchlut,2,6.900784
i64toa_sequential,branchlut,3,7.246940
i64toa_sequential,branchlut,4,7.258106
i64toa_sequential,branchlut,5,11.992625
i64toa_sequential,branchlut,6,12.796600
i64toa_sequential,branchlut,7,13.254419
i64toa_sequential,branchlut,8,13.522410
i64toa_sequential,branchlut,9,22.220972
i64toa_sequential,branchlut,10,24.956719
i64toa_sequential,branchlut,11,25.637865
i64toa_sequential,branchlut,12,25.727195
i64toa_sequential,branchlut,13,26.374842
i64toa_sequential,branchlut,14,26.352509
i64toa_sequential,branchlut,15,26.553503
i64toa_sequential,branchlut,16,26.665166
i64toa_sequential,branchlut,17,27.949292
i64toa_sequential,branchlut,18,27.971625
i64toa_sequential,branchlut,19,28.864930
i64toa_sequential,branchlut,20,28.876097
i64toa_random,branchlut,0,32.188585
i64toa_sequential,branchlut2,1,7.425601
i64toa_sequential,branchlut2,2,8.173744
i64toa_sequential,branchlut2,3,7.425601
i64toa_sequential,branchlut2,4,9.279210
i64toa_sequential,branchlut2,5,7.280439
i64toa_sequential,branchlut2,6,8.173744
i64toa_sequential,branchlut2,7,9.078216
i64toa_sequential,branchlut2,8,9.335041
i64toa_sequential,branchlut2,9,11.880962
i64toa_sequential,branchlut2,10,11.769299
i64toa_sequential,branchlut2,11,14.158890
i64toa_sequential,branchlut2,12,14.181223
i64toa_sequential,branchlut2,13,16.034832
i64toa_sequential,branchlut2,14,16.034832
i64toa_sequential,branchlut2,15,16.771809
i64toa_sequential,branchlut2,16,16.872306
i64toa_sequential,branchlut2,17,20.680020
i64toa_sequential,branchlut2,18,20.590689
i64toa_sequential,branchlut2,19,21.227169
i64toa_sequential,branchlut2,20,21.160171
i64toa_random,branchlut2,0,28.293215
i64toa_sequential,naive,1,5.382165
i64toa_sequential,naive,2,8.296574
i64toa_sequential,naive,3,10.965324
i64toa_sequential,naive,4,14.080726
i64toa_sequential,naive,5,17.553451
i64toa_sequential,naive,6,21.037342
i64toa_sequential,naive,7,23.594429
i64toa_sequential,naive,8,27.859962
i64toa_sequential,naive,9,31.343853
i64toa_sequential,naive,10,35.129234
i64toa_sequential,naive,11,38.713622
i64toa_sequential,naive,12,42.275678
i64toa_sequential,naive,13,45.145421
i64toa_sequential,naive,14,49.600782
i64toa_sequential,naive,15,53.084673
i64toa_sequential,naive,16,56.144244
i64toa_sequential,naive,17,60.085954
i64toa_sequential,naive,18,63.904834
i64toa_sequential,naive,19,67.600885
i64toa_sequential,naive,20,67.600885
i64toa_random,naive,0,53.827791
i64toa_sequential,null,1,2.222097
i64toa_sequential,null,2,2.222097
i64toa_sequential,null,3,2.222097
i64toa_sequential,null,4,2.222097
i64toa_sequential,null,5,2.222097
i64toa_sequential,null,6,2.222097
i64toa_sequential,null,7,2.222097
i64toa_sequential,null,8,2.222097
i64toa_sequential,null,9,2.222097
i64toa_sequential,null,10,2.222097
i64toa_sequential,null,11,2.222097
i64toa_sequential,null,12,2.222097
i64toa_sequential,null,13,2.222097
i64toa_sequential,null,14,2.222097
